Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Resistance 2,PS3,2008.0,Shooter,Sony Computer Entertainment,1.1500000000000001,0.84,0.1,0.38,2.46,87.0,79.0,6.1000000000000005,1889.0,Insomniac Games,M
Quake III: Revolution,PS2,2001.0,Shooter,Electronic Arts,0.1,0.08,0.0,0.03,0.21,84.0,18.0,7.2,11.0,Bullfrog Productions,M
The Destiny of Zorro,Wii,2009.0,Action,505 Games,0.09,0.0,0.0,0.01,0.1,,,,,Pronto Games,
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.11,0.06,0.6900000000000001,7.32,84.0,57.0,7.4,2142.0,EA DICE,M
Halo 2,PC,2007.0,Shooter,Microsoft Game Studios,0.01,0.06,0.0,0.02,0.09,72.0,32.0,5.6000000000000005,216.0,Microsoft Game Studios,M
Sacred Gold,PC,Unknown,Role-Playing,Encore,0.0,0.02,0.0,0.0,0.02,,,8.200000000000001,25.0,Ascaron Entertainment GmbH,T
Konami Collector's Series: Arcade Advanced,GBA,2002.0,Misc,Konami Digital Entertainment,0.46,0.17,0.0,0.01,0.64,78.0,10.0,,,,E
How to Train Your Dragon 2,WiiU,2014.0,Adventure,Little Orbit,0.03,0.05,0.0,0.01,0.08,47.0,4.0,4.9,7.0,Torus Games,E10+
Ecco the Dolphin: Defender of the Future,PS2,2002.0,Adventure,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14,71.0,17.0,8.5,11.0,Appaloosa Interactive,E
WWE SmackDown vs. Raw 2011,Wii,2010.0,Fighting,THQ,0.29,0.13,0.0,0.04,0.46,72.0,7.0,,,Yuke's,T
  Touch Shot! Love Application  ,PS3,2012.0,Adventure,Compile Heart,0.0,0.0,0.03,0.0,0.03,,,,,,
Little Busters! Converted Edition,PSP,2010.0,Adventure,Prototype,0.0,0.0,0.04,0.0,0.04,,,,,,
Skies of Arcadia Legends,GC,2002.0,Role-Playing,Atari,0.17,0.04,0.0,0.01,0.22,84.0,31.0,9.200000000000001,95.0,Overworks,T
Time Crisis 4,PS3,2007.0,Shooter,Namco Bandai Games,0.32,0.32,0.05,0.14,0.8300000000000001,60.0,52.0,7.4,21.0,Nex Entertainment,T
Tenchu Z,X360,2006.0,Action,Microsoft Game Studios,0.27,0.02,0.02,0.03,0.34,,51.0,7.300000000000001,58.0,K2 LLC,M
Red Bull BC One,DS,2008.0,Misc,Playlogic Game Factory,0.08,0.0,0.0,0.01,0.09,48.0,15.0,5.300000000000001,8.0,Smack Down Productions,E
1 vs. 100,DS,199X,Misc,DSI Games,0.08,0.0,0.0,0.01,0.08,38.0,5.0,3.2,5.0,ECI,
Tetris 2 (All region sales),GB,1992.0,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24,,,,,,
Tecmo Classic Arcade,XB,2005.0,Misc,Microsoft Game Studios,0.05,0.01,0.0,0.0,0.06,55.0,26.0,,,Tecmo,E
Horse Life Adventures,DS,2008.0,Simulation,Deep Silver,0.08,0.01,0.0,0.01,0.1,,,,,Neko Entertainment,E
Otoko Yukaku,PSV,2015.0,Action,D3Publisher,0.0,0.0,0.02,0.0,0.02,,,,,,
CID The Dummy,PSP,2009.0,Platform,Oxygen Interactive,0.02,0.0,0.0,0.0,0.03,,6.0,,,Twelve Games,E10+
WWE SmackDown vs. RAW 2007,X360,2006.0,Fighting,THQ,0.44,0.03,0.0,0.04,0.5,81.0,50.0,7.800000000000001,46.0,Yuke's,T
Driv3r,GBA,20O8,Racing,Atari,0.02,0.01,0.0,0.0,0.03,,,5.4,5.0,Velez & Dubail,M
Army of Two,X360,2008.0,Shooter,Electronic Arts,1.09,0.37,0.02,0.16,1.6400000000000001,72.0,76.0,7.6000000000000005,233.0,EA Montreal,M
Warriors of Might and Magic,PS2,2001.0,Adventure,3DO,0.09,0.07,0.0,0.02,0.17,49.0,12.0,4.5,6.0,3DO,T
Soldier of Fortune II: Double Helix,XB,2003.0,Shooter,Activision,0.17,0.05,0.0,0.01,0.23,61.0,26.0,6.5,13.0,Gratuitous Games,M
Borderlands,X360,2009.0,Shooter,Take-Two Interactive,2.4000000000000004,0.71,0.03,0.29,3.44,84.0,83.0,8.200000000000001,715.0,Gearbox Software,M
Commandos 2: Men of Courage,PS2,2002.0,Strategy,Eidos Interactive,0.09,0.07,0.0,0.02,0.18,67.0,19.0,6.800000000000001,11.0,Pyro Studios,T
  Bomberman  ,Wii,--,Puzzle,Hudson Entertainment,0.0,0.0,0.01,0.0,0.01,,,,,,
The Last of Us,PS4,2014.0,Actoin,Sony Computer Entertainment,1.8800000000000001,2.0,0.07,0.77,4.71,,,,,,
The Fight: Lights Out,PS3,2010.0,Fighting,Sony Computer Entertainment,0.29,0.21,0.0,0.09,0.59,48.0,39.0,7.5,77.0,Coldwood Interactive,T
Star Wars: Knights of the Old Republic,XB,2003.0,Role-Playing,Activision,1.68,0.44,0.0,0.08,2.19,94.0,72.0,9.200000000000001,317.0,BioWare,T
The Legend of Spyro: A New Beginning,DS,2006.0,Platform,Vivendi Games,-57.16,0.01,0.0,0.03,0.37,68.0,10.0,6.800000000000001,8.0,Amaze Entertainment,E
Rockstar Games presents Table Tennis,Wii,2007.0,Sports,Take-Two Interactive,0.39,0.72,0.0,0.15,1.26,68.0,36.0,5.800000000000001,21.0,Rockstar San Diego,E
The Bard's Tale,PS2,2004.0,Role-Playing,Ubisoft,0.1,0.08,0.0,0.03,0.21,76.0,44.0,8.6,14.0,InXile Entertainment,T
The Scorpion King: Rise of the Akkadian,PS2,2002.0,Action,Universal Interactive,0.11,0.09,0.0,0.03,0.23,47.0,12.0,7.2,6.0,VU Games,T
NBA Jam 99,N64,1998.0,Sports,Acclaim Entertainment,0.25,0.02,0.0,0.0,0.27,,,,,,
Cities XL 2012,PC,2011.0,Strategy,Focus Home Interactive,0.01,0.05,0.0,0.01,0.07,61.0,18.0,5.6000000000000005,95.0,Monte Cristo Multimedia,E
Michael Jackson: The Experience,DS,2010.0,Misc,Ubisoft,0.21,0.02,0.0,0.02,0.25,64.0,5.0,6.6000000000000005,5.0,Ubisoft,E10+
Mana Khemia 2: Fall of Alchemy,PS2,2008.0,Role-Playing,Gust,0.07,0.05,0.05,0.02,0.2,70.0,12.0,8.200000000000001,17.0,Gust,T
Worms Reloaded,PC,2010.0,Strategy,Team17 Software,0.0,0.04,0.0,0.01,0.05,79.0,28.0,6.800000000000001,185.0,Team 17,E10+
Defender II,2600.0,1987.0,Shooter,Atari,0.42,0.02,0.0,0.0,0.45,,,,,,
MySims SkyHeroes,X360,2010.0,Action,Electronic Arts,0.09,0.0,0.0,0.01,0.1,56.0,15.0,5.5,4.0,Behaviour Interactive,E10+
Activision Hits: Remixed,PSP,2006.0,Misc,Activision,0.05,0.0,0.0,0.0,0.05,75.0,10.0,,,Digital Eclipse,E
Bratz: Girlz Really Rock,DS,2008.0,action,THQ,0.18,0.11,0.0,0.03,0.32,,,,,Blitz Games,E
Discovery Kids: Snake Safari,DS,2009.0,Simulation,505 Games,0.02,0.0,0.0,0.0,0.02,,,,,505 Games,E10+
Line Rider 2: Unbound,DS,2008.0,Puzzle,Deep Silver,0.07,0.0,0.0,0.01,0.08,59.0,23.0,5.6000000000000005,5.0,InXile Entertainment,E
Harvest Moon: Frantic Farming,DS,2009.0,Puzzle,Rising Star Games,0.08,0.0,0.0,0.01,0.1,72.0,7.0,6.800000000000001,6.0,,E
NBA 08,PS2,2007.0,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13,59.0,16.0,,,SCEA San Diego Studios,E
Ducati Moto,DS,2008.0,Racing,Vir2L Studios,0.02,0.0,0.0,0.0,0.03,69.0,4.0,,,4J Studios,E
Meitantei Conan: Tantei Ryoku Trainer,DS,TBD,Misc,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,,,,,,
  The Lord of the Rings: Conquest  ,PC,2009.0,Action,Electronic Arts,0.0,0.02,0.0,0.0,0.02,57.0,24.0,6.7,42.0,,T
El Shaddai: Ascension of the Metatron,X360,2011.0,Action,Ignition Entertainment,0.07,0.05,0.03,0.01,0.16,75.0,44.0,7.0,47.0,Ignition Entertainment,T
The BIGS,Wii,2007.0,Sports,Take-Two Interactive,0.34,0.0,0.0,0.03,0.37,66.0,15.0,7.1000000000000005,14.0,Blue Castle Games,E
Classic NES Series: Bomberman,GBA,2004.0,Action,Nintendo,0.1,0.04,0.11,0.01,0.26,,,,,,
The Incredible Hulk,DS,2008.0,Action,Sega,0.22,0.0,0.0,0.02,0.24,50.0,15.0,,,Amaze Entertainment,
Kirby: Canvas Curse,DS,2005.0,Platform,Nintendo,0.36,0.0,0.32,0.03,0.72,86.0,48.0,8.200000000000001,87.0,HAL Labs,E
Rubik's World,DS,2008.0,Puzzle,Game Factory,0.1,0.01,0.0,0.01,0.12,66.0,8.0,,,Two Tribes,E
MLB 2K12 / NBA 2K12 Combo Pack,X360,2012.0,Sports,Take-Two Interactive,0.04,0.0,0.0,0.0,0.04,,,,,,
Fight Night Champion,PS3,2011.0,Fighting,Electronic Arts,0.45,0.49,0.0,0.18,1.11,84.0,52.0,7.300000000000001,95.0,EA Canada,M
Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,199X,Misc,Namco Bandai Games,0.0,0.0,0.63,0.0,0.63,,,,,,
MX vs. ATV Unleashed: On the Edge,PSP,2006.0,Racing,THQ,0.64,0.0,0.0,0.05,0.6900000000000001,68.0,22.0,8.1,7.0,Rainbow Studios,E
Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0,Level 5,E
Dark Summit,GC,2002.0,Sports,THQ,0.04,0.01,0.0,0.0,0.05,68.0,16.0,4.5,4.0,Radical Entertainment,
Harry Potter and the Prisoner of Azkaban,PS2,2004.0,Action,Electronic Arts,0.5,0.39,0.0,0.13,1.02,70.0,29.0,8.700000000000001,29.0,EA Games,E
Teenage Mutant Ninja Turtles 2: Battle Nexus,GBA,2004.0,Action,Konami Digital Entertainment,0.23,0.09,0.0,0.01,0.32,65.0,9.0,,,Konami,E
Kinect Joy Ride,X360,2010.0,Racing,Microsoft Game Studios,0.92,0.39,0.0,0.12,1.43,52.0,46.0,5.0,20.0,BigPark,E
NCAA Football 09,PS3,2008.0,Sports,Electronic Arts,0.54,0.0,0.0,0.04,0.58,81.0,20.0,7.300000000000001,25.0,EA Tiburon,E
Leisure Suit Larry: Magna Cum Laude,PS2,2004.0,Adventure,Vivendi Games,0.17,0.13,0.0,0.04,0.34,60.0,44.0,6.300000000000001,18.0,High Voltage Software,M
Saints Row 2,X360,2008.0,Action,THQ,1.94,0.79,0.02,0.28,3.0300000000000002,81.0,75.0,8.1,307.0,Volition Inc.,M
Capcom Classics Collection Reloaded,PSP,2006.0,Misc,Capcom,0.26,0.0,0.03,0.03,0.33,75.0,27.0,,,"Capcom, Klein Computer Entertainment",T
Eikan wa Kimini 2002: Koshien no Kodou,PS2,2002.0,Sports,DigiCube,0.0,0.0,0.06,0.0,0.06,,,,,,
Cabbage Patch Kids: The Patch Puppy Rescue,GBA,2007.0,Misc,D3Publisher,0.01,0.0,0.0,0.0,0.02,,,,,,
Happy Feet Two,Wii,,Action,Warner Bros. Interactive Entertainment,0.06,0.01,0.0,0.01,0.08,,,,,,
DuckTales: Remastered,PS3,2013.0,Action,Capcom,0.01,0.03,0.0,0.01,0.05,75.0,31.0,7.4,135.0,WayForward,E
Championship Manager 3,PC,2003.0,Sports,Eidos Interactive,0.0,0.93,0.0,0.08,1.01,,,,,,
Super Ghouls 'n Ghosts,GBA,2002.0,Platform,Capcom,0.05,0.02,0.0,0.0,0.07,78.0,19.0,8.8,4.0,Capcom,E
Transformers: Cybertron Adventures,Wii,2010.0,Action,Activision,0.14,0.1,0.0,0.02,0.27,41.0,15.0,6.5,8.0,Next Level Games,T
Endless Ocean: Blue World,Wii,2009.0,Simulation,Nintendo,0.46,0.21,0.12,0.06,0.86,76.0,42.0,8.5,26.0,Arika,E10+
Lego Star Wars: The Force Awakens,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.16,0.43,0.01,0.11,0.7000000000000001,78.0,61.0,7.5,91.0,TT Games,E10+
Wayne Gretzky's 3D Hockey '98,N64,1997.0,Sports,Midway Games,0.23,0.02,0.0,0.0,0.25,,,,,,
Rango: The Video Game,PS3,2011.0,Action,Electronic Arts,0.07,0.09,0.0,0.03,0.19,65.0,23.0,6.4,7.0,Behaviour Interactive,E10+
  So-Ra-No-Wo-To: Otome no Gojuusou  ,PSP,2010.0,Adventure,Compile Heart,0.0,0.0,0.02,0.0,0.02,,,,,,
Pipe Mania,DS,2008.0,Puzzle,Empire Interactive,0.08,0.01,0.0,0.01,0.09,71.0,13.0,,,Razorworks,E
AniMates!,DS,2007.0,Simulation,Lexicon Entertainment,0.02,0.0,0.0,0.0,0.03,33.0,4.0,2.5,4.0,Dreamcatcher,E
Hunted: The Demon's Forge,PS3,2011.0,Action,Bethesda Softworks,0.12,0.08,0.02,0.03,0.25,57.0,34.0,6.2,70.0,InXile Entertainment,M
Reloaded,PS,1996.0,Action,Gremlin Interactive Ltd,0.09,0.06,0.0,0.01,0.17,,,,,,
Gauntlet Legends,N64,1999.0,Action,Midway Games,0.43,0.1,0.0,0.01,0.54,,,,,,
Ski-Doo Snowmobile Challenge,PS3,2009.0,Racing,PQube,0.1,0.0,0.0,0.01,0.1,,,,,Coldwood Interactive,E
  Animal Crossing: Wild World  ,DS,2005.0,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.700000000000001,242.0,Nintendo,E
Dungeon Siege: Throne of Agony,PSP,2006.0,Role-Playing,Take-Two Interactive,0.13,0.02,0.0,0.02,0.16,,32.0,8.1,21.0,SuperVillain Studios,
Castlevania: Curse of Darkness,PS2,2005.0,Action,Konami Digital Entertainment,0.18,0.14,0.05,0.05,0.42,70.0,30.0,7.5,46.0,Konami,M
LEGO City Undercover,3DS,2013.0,Platform,Nintendo,0.52,0.77,0.07,0.11,1.47,,,,,,
Still Life 2,PC,2009.0,Adventure,Rondomedia,0.0,0.01,0.0,0.0,0.02,67.0,15.0,5.7,54.0,GameCo,M
TouchMaster 3(Others sales),DS,2009.0,Puzzle,Warner Bros. Interactive Entertainment,0.0,0.24,0.0,0.02,0.26,,,,,,
FIFA: Road to World Cup 98,PS,1997.0,Sport,Electronic Arts,0.14,0.09,0.46,0.05,0.73,,,,,,
SingStar '80s,PS2,2005.0,Misc,Sony Computer Entertainment,0.27,0.02,0.0,1.02,1.3,78.0,22.0,8.3,6.0,SCEA,T
Harvey Birdman: Attorney at Law,Wii,2008.0,Adventure,Capcom,0.08,0.0,0.0,0.01,0.08,60.0,28.0,7.800000000000001,5.0,High Voltage Software,T
Harvest Moon: Friends of Mineral Town,GBA,2003.0,Simulation,Ubisoft,0.34,0.13,0.11,0.01,0.59,81.0,25.0,9.600000000000001,116.0,TOSE,E
Gravity Rush,PSV,2012.0,Action,Sony Computer Entertainment,0.21,0.17,0.09,0.08,0.56,83.0,73.0,8.5,625.0,SCE Japan Studio,T
Titanfall,XOne,2014.0,Shooter,Electronic Arts,1.84,0.8,0.04,0.27,2.95,86.0,68.0,6.4,2658.0,Respawn Entertainment,M
Hail to the Chimp,X360,2008.0,Misc,Gamecock,0.05,0.0,0.0,0.0,0.06,52.0,23.0,6.1000000000000005,7.0,Wideload Games Inc.,T
Ty the Tasmanian Tiger 3: Night of the Quinkan,GBA,2005.0,Action,Zoo Digital Publishing,0.04,0.01,0.0,0.0,0.05,,6.0,,,,E10+
Squinkies,DS,2011.0,Misc,Activision,0.26,0.02,0.0,0.02,0.30000000000000004,,,,,Human Soft,E
Pet Alien: An Intergalactic Puzzlepalooza,DS,2007.0,Action,Game Factory,0.03,0.0,0.0,0.0,0.03,58.0,16.0,,,Shin'en,E
Princess Debut,DS,2008.0,Misc,Cave,0.1,0.0,0.0,0.01,0.1,71.0,6.0,7.4,7.0,Cave,E
Assassin's Creed: Brotherhood,PC,2011.0,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59,88.0,24.0,8.200000000000001,1102.0,Ubisoft Montreal,M
Kids Learn Music A+ Edition,DS,2011.0,Misc,Unknown,0.04,0.0,0.0,0.0,0.04,,,,,,
Dragon Ball Z: Collectible Card Game,GBA,2002.0,Misc,Infogrames,0.33,0.12,0.0,0.01,0.46,62.0,4.0,5.5,4.0,ImaginEngine,E
Mega Brain Boost,DS,2008.0,Puzzle,Majesco Entertainment,0.01,0.0,0.0,0.0,0.01,48.0,10.0,,,Interchannel-Holon,E
Scripps Spelling Bee,DS,2010.0,Simulation,THQ,0.14,0.0,0.0,0.01,0.15,,,,,THQ,E
Ice Age: Dawn of the Dinosaurs,PS3,2009.0,Action,Activision,0.13,0.03,0.0,0.02,0.19,67.0,23.0,7.300000000000001,7.0,Activision,E10+
Doom 3 BFG Edition,PS3,2012.0,Shooter,Bethesda Softworks,0.26,0.21,0.0,0.1,0.5700000000000001,67.0,16.0,6.4,107.0,id Software,M
Champions of Norrath,PS2,2004.0,Role-Playing,Sony Online Entertainment,0.63,0.49,0.0,0.16,1.28,85.0,51.0,8.4,57.0,Snowblind Studios,T
Evolve,PC,2015.0,Shooter,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19,77.0,39.0,4.3,969.0,Turtle Rock Studios,M
Yu-Gi-Oh! Forbidden Memories,PS,1999.0,Role-Playing,Konami Digital Entertainment,1.37,0.44,0.0,0.08,1.8800000000000001,,,,,,
Reign of Fire,XB,2002.0,Shooter,BAM! Entertainment,0.07,0.02,0.0,0.0,0.1,54.0,13.0,,,,M
Marvel Nemesis: Rise of the Imperfects,PSP,2005.0,Fighting,Electronic Arts,0.29,0.0,0.0,0.02,0.32,58.0,15.0,8.700000000000001,30.0,EA Canada,T
RayCrisis: Series Termination,PS,1999.0,Shooter,JVC,0.01,0.01,0.0,0.0,0.02,67.0,8.0,,,Taito Corporation,E
Cake Mania: Baker's Challenge,PS2,2008.0,Puzzle,Destineer,0.01,0.01,0.0,0.0,0.03,,,,,,E
Lego Star Wars: The Force Awakens,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.16,0.43,0.01,0.11,0.7000000000000001,78.0,61.0,7.5,91.0,,E10+
Naruto Shippuden: Naruto vs. Sasuke,DS,2008.0,Action,Takara Tomy,0.07,0.0,0.03,0.0,0.11,64.0,7.0,,,Takara Tomy,E10+
Stoked: Big Air Edition,X360,2009.0,Sports,Namco Bandai Games,0.02,0.02,0.0,0.0,0.04,72.0,21.0,7.7,16.0,Bongfish,T
Madden NFL 2002,GC,2001.0,Sports,Electronic Arts,0.47000000000000003,0.12,0.0,0.02,0.61,89.0,12.0,,,EA Sports,E
Midnight Club: Street Racing,PS2,2000.0,Racing,Take-Two Interactive,2.0,0.47000000000000003,0.02,0.14,2.63,78.0,18.0,7.800000000000001,21.0,Angel Studios,T
Planet Monsters,GBA,2001.0,Action,Titus,0.01,0.0,0.0,0.0,0.01,67.0,9.0,,,Planet Interactive,E
World Championship Poker: Featuring Howard Lederer - All In,PS2,2006.0,Misc,Oxygen Interactive,0.8200000000000001,0.64,0.0,0.22,1.68,,,,,,
We Love Katamari,PS2,--,Puzzle,Electronic Arts,0.26,0.2,0.0,0.07,0.52,86.0,61.0,8.9,51.0,Namco,E
  Star Wars: Empire at War  ,PC,2006.0,Strategy,LucasArts,0.01,0.06,0.0,0.01,0.08,79.0,45.0,8.4,240.0,Petroglyph,T
